user_id,cc_id,num_cc,channel,trial_money,trial_nums,trial_price,teacher_id,teacher_type,is_weekend,num_days_reserve,student_evaluation,has_comment,trial_issue,if_converted
16570675,319.0,0.0,1662.0,0.0,1,0.0,1842,2,0,6.0,10.0,0,0,0
16570901,319.0,0.0,1662.0,0.0,1,0.0,1904,2,1,5.0,14.0,0,0,0
16571026,319.0,0.0,1662.0,0.0,1,0.0,800,2,0,14.0,11.0,0,0,0
16571280,319.0,0.0,1662.0,0.0,1,0.0,738,2,0,5.0,12.0,0,0,0
16571563,319.0,0.0,1662.0,0.0,2,0.0,1985,2,1,15.0,8.25,0,0,0
16571623,319.0,0.0,1662.0,0.0,1,0.0,1843,2,0,27.0,9.0,0,0,0
16571661,319.0,0.0,1662.0,0.0,1,0.0,1179,2,1,18.0,14.0,0,0,0
16571797,319.0,0.0,1662.0,0.0,1,0.0,1868,2,0,2.0,14.0,0,0,0
16571808,319.0,0.0,1662.0,0.0,1,0.0,1893,2,0,5.0,13.0,0,0,0
16571819,319.0,0.0,1662.0,0.0,1,0.0,1842,2,1,14.0,10.0,0,0,0
16571841,319.0,0.0,1662.0,0.0,1,0.0,1081,2,0,143.0,18.0,0,0,0
16572143,319.0,0.0,1662.0,0.0,1,0.0,1978,2,0,1.0,10.0,0,0,0
16572252,319.0,0.0,1662.0,0.0,1,0.0,1978,2,1,4.0,7.0,0,0,0
16572913,319.0,0.0,1662.0,0.0,1,0.0,1863,2,1,38.0,12.0,0,0,0
16573203,319.0,0.0,1662.0,0.0,1,0.0,1829,2,0,17.0,15.0,0,0,0
16573510,319.0,0.0,1662.0,0.0,1,0.0,1841,2,0,12.0,15.0,0,0,0
16573714,319.0,0.0,1662.0,0.0,1,0.0,1860,2,0,10.0,5.0,0,0,0
16573928,319.0,0.0,1662.0,0.0,1,0.0,1842,2,0,16.0,5.0,0,0,0
16573934,319.0,0.0,1662.0,0.0,1,0.0,1863,2,0,58.0,8.0,0,0,0
16574021,319.0,0.0,1662.0,0.0,1,0.0,1986,2,1,6.0,7.0,0,0,0
16574132,319.0,0.0,1662.0,0.0,1,0.0,1974,2,0,9.0,17.0,0,0,0
16574331,319.0,0.0,1662.0,0.0,1,0.0,1863,2,0,70.0,10.0,0,0,0
16574356,319.0,0.0,1662.0,0.0,1,0.0,1750,2,1,15.0,8.0,0,0,0
16574503,319.0,0.0,1662.0,0.0,1,0.0,1974,2,0,11.0,11.0,0,0,0
16574580,319.0,0.0,1662.0,0.0,1,0.0,1081,2,0,64.0,18.0,0,0,0
16574717,319.0,0.0,1662.0,0.0,1,0.0,1846,2,0,29.0,10.0,0,0,0
16574758,319.0,0.0,1662.0,0.0,1,0.0,1829,2,0,18.0,15.0,0,0,0
16574770,319.0,0.0,1662.0,0.0,1,0.0,1846,2,0,29.0,6.0,0,0,0
16575111,319.0,0.0,1662.0,0.0,1,0.0,1974,2,0,8.0,12.0,0,0,0
16575172,319.0,1.0,1662.0,0.0,1,0.0,1957,2,0,1.0,12.0,0,0,0
16575191,319.0,0.0,1662.0,0.0,1,0.0,1087,2,1,43.0,2.99,0,0,0
16575227,319.0,1.0,1662.0,0.0,1,0.0,1846,2,0,14.0,2.37,0,0,0
16575290,319.0,0.0,1662.0,0.0,1,0.0,1750,2,0,3.0,10.0,0,0,0
16575366,319.0,2.0,1662.0,0.0,1,0.0,1856,2,0,24.0,2.75,0,0,0
16575620,319.0,0.0,1662.0,0.0,1,0.0,1828,2,1,52.0,1.32,0,0,0
16575968,319.0,1.0,1662.0,0.0,1,0.0,2013,2,0,4.0,7.0,0,0,0
16575973,319.0,1.0,1662.0,0.0,1,0.0,1863,2,0,117.0,5.0,0,0,0
16575978,319.0,1.0,1662.0,0.0,1,0.0,1829,2,0,11.0,20.0,0,0,0
16575983,319.0,1.0,1662.0,0.0,1,0.0,1853,2,0,21.0,14.0,0,0,0
16575988,319.0,1.0,1662.0,0.0,1,0.0,1856,2,1,24.0,11.0,0,0,0
16576007,319.0,1.0,1662.0,0.0,1,0.0,2010,2,0,18.0,15.0,0,0,0
16576116,319.0,0.0,1662.0,0.0,1,0.0,1856,2,1,30.0,6.0,0,0,0
16576294,319.0,0.0,1662.0,0.0,1,0.0,1939,2,1,11.0,10.0,0,0,0
16576488,319.0,0.0,1662.0,0.0,1,0.0,1846,2,0,53.0,7.0,0,0,0
16576493,319.0,0.0,1662.0,0.0,1,0.0,2006,2,0,7.0,21.0,0,0,0
16576718,319.0,0.0,1662.0,0.0,1,0.0,2017,2,0,7.0,3.71,0,0,0
16576731,319.0,0.0,1662.0,0.0,1,0.0,1893,2,1,12.0,12.0,0,0,0
16576824,319.0,0.0,1662.0,0.0,1,0.0,2022,2,1,4.0,15.0,0,0,0
16577040,319.0,0.0,1662.0,0.0,1,0.0,1877,2,0,48.0,9.0,0,0,0
16577422,319.0,0.0,1662.0,0.0,1,0.0,1081,2,0,54.0,8.0,0,0,0
16577636,319.0,0.0,1662.0,0.0,1,0.0,1962,2,1,32.0,6.0,0,0,0
16578338,319.0,0.0,1662.0,0.0,1,0.0,1986,2,0,7.0,10.0,0,0,0
16578621,319.0,0.0,1662.0,0.0,1,0.0,2025,2,1,8.0,13.0,0,0,0
16578750,319.0,0.0,1662.0,0.0,1,0.0,1828,2,0,77.0,8.0,0,0,0
16578809,319.0,0.0,1662.0,0.0,1,0.0,1689,2,1,7.0,7.0,0,0,0
16579019,319.0,0.0,1662.0,0.0,1,0.0,1756,2,0,8.0,13.0,0,0,0
16579220,319.0,0.0,1662.0,0.0,1,0.0,2002,2,0,6.0,12.0,0,0,0
16579455,319.0,0.0,1662.0,0.0,1,0.0,432,2,0,5.0,17.0,0,0,0
138865,323.0,5.0,99.0,6.2,1,6.2,207,2,0,11.0,1.52,0,0,0
138943,329.0,1.0,98.0,0.0,1,0.0,384,2,1,16.0,1.26,0,0,0
16433170,337.0,1.0,510.0,0.0,1,0.0,1025,2,0,8.0,20.0,0,0,0
16433437,341.0,1.0,510.0,0.0,1,0.0,1087,2,0,11.0,8.0,0,0,0
16495210,355.0,1.0,0.0,0.0,1,0.0,827,2,1,8.0,0.46,0,0,0
16509201,410.0,1.0,0.0,0.0,1,0.0,825,1,0,8.0,12.0,0,0,0
16509220,410.0,1.0,0.0,0.0,1,0.0,1420,2,0,15.0,18.0,0,0,0
16573481,452.0,2.0,99.0,9.9,1,9.9,1943,2,0,15.0,3.1,0,0,0
16471255,490.0,4.0,0.0,0.5,1,0.5,2008,2,0,14.0,9.0,0,0,0
16558536,490.0,2.0,1662.0,0.0,1,0.0,1087,2,0,39.0,8.0,0,0,0
16558754,490.0,2.0,1662.0,0.0,1,0.0,1848,2,0,37.0,2.34,0,0,0
16559003,490.0,2.0,1662.0,0.0,2,0.0,1379,2,0,6.0,18.5,0,0,0
16559018,490.0,2.0,1662.0,0.0,1,0.0,1785,2,1,3.0,14.0,0,0,0
16559027,490.0,2.0,1662.0,0.0,1,0.0,937,2,0,8.0,10.0,0,0,0
16559069,490.0,4.0,1662.0,0.0,1,0.0,1842,2,1,23.0,4.14,0,0,0
16559099,490.0,2.0,1662.0,0.0,1,0.0,1785,2,0,13.0,16.0,0,0,0
16559106,490.0,3.0,1662.0,0.0,1,0.0,1852,2,1,4.0,4.04,0,0,0
16559117,490.0,2.0,1662.0,0.0,1,0.0,1263,5,1,5.0,2.85,0,0,0
16559132,490.0,3.0,1662.0,0.0,1,0.0,1830,2,0,52.0,4.3,0,0,0
16559152,490.0,2.0,1662.0,0.0,1,0.0,1785,2,0,16.0,14.0,0,0,0
16559161,490.0,2.0,1662.0,0.0,1,0.0,1838,2,0,12.0,2.46,0,0,0
16559170,490.0,2.0,1662.0,0.0,1,0.0,1087,2,1,15.0,16.0,0,0,0
16559179,490.0,2.0,1662.0,0.0,1,0.0,1802,2,0,3.0,16.0,0,0,0
