user_id,age,gender,job,after_policy
131832,413.0,2,0,0
131833,418.0,0,0,0
131834,0.0,2,0,0
131835,0.0,0,0,0
131836,0.0,0,0,0
131837,416.0,1,0,0
131838,416.0,0,0,0
131839,417.0,0,0,0
131840,417.0,1,0,0
131841,0.0,0,0,0
131842,416.0,1,0,0
131843,420.0,0,0,0
131844,417.0,1,0,0
131845,0.0,0,0,0
131846,412.0,2,0,0
131847,419.0,0,0,0
131848,419.0,0,0,0
131849,416.0,1,0,0
131850,418.0,1,0,0
131851,0.0,0,0,0
131852,416.0,1,0,0
131853,419.0,1,0,0
131854,418.0,1,0,0
131855,418.0,1,0,0
131856,418.0,0,0,0
131857,418.0,1,0,0
131858,411.0,2,1,0
131859,0.0,0,0,0
131860,0.0,0,0,0
131861,0.0,0,0,0
131862,417.0,0,0,0
131863,417.0,1,0,0
131864,417.0,1,0,0
131865,411.0,2,0,0
131866,420.0,0,0,0
131867,418.0,0,0,0
131868,0.0,0,0,0
131869,418.0,0,0,0
131870,0.0,0,0,0
131871,0.0,0,0,0
131872,0.0,0,0,0
131873,0.0,0,0,0
131874,412.0,2,0,0
131875,0.0,0,0,0
131876,418.0,0,0,0
131877,0.0,0,0,0
131878,416.0,0,0,0
131879,0.0,0,0,0
131880,414.0,2,0,0
131881,418.0,1,0,0
131882,417.0,0,0,0
131883,420.0,0,0,0
131884,418.0,1,0,0
131885,420.0,0,0,0
131886,416.0,0,0,0
131887,413.0,2,0,0
131888,417.0,0,0,0
131889,412.0,2,0,0
131890,418.0,0,0,0
131891,412.0,2,0,0
131892,417.0,0,0,0
131893,411.0,2,0,0
131894,412.0,2,0,0
131895,0.0,2,0,0
131896,0.0,0,0,0
131897,417.0,1,0,0
131898,419.0,0,0,0
131899,413.0,2,0,0
131900,417.0,0,0,0
131901,418.0,1,0,0
131902,418.0,1,0,0
131903,419.0,0,0,0
131904,0.0,2,0,0
131905,416.0,0,0,0
131906,412.0,2,0,0
131907,411.0,2,0,0
131908,420.0,1,0,0
131909,416.0,0,0,0
131910,0.0,1,0,0
131911,420.0,1,0,0
131912,0.0,0,0,0
131913,416.0,0,0,0
131914,0.0,0,0,0
131915,0.0,2,0,0
131916,419.0,1,0,0
131917,419.0,1,0,0
131918,420.0,0,0,0
131919,0.0,0,0,0
131920,420.0,0,0,0
131921,0.0,0,0,0
131922,414.0,2,0,0
131923,417.0,1,0,0
131924,411.0,2,0,0
131925,416.0,0,0,0
131926,416.0,1,0,0
131927,416.0,1,0,0
131928,420.0,0,0,0
131929,416.0,1,0,0
131930,412.0,2,0,0
131931,416.0,0,0,0
131932,420.0,0,0,0
131933,420.0,1,0,0
131934,420.0,0,0,0
131935,417.0,1,0,0
131936,416.0,0,0,0
131937,416.0,1,0,0
131938,417.0,0,0,0
131939,412.0,2,0,0
131940,419.0,0,0,0
131941,417.0,0,0,0
131942,417.0,0,0,0
131943,419.0,1,0,0
131944,419.0,0,0,0
131945,416.0,1,0,0
131946,0.0,0,0,0
131947,416.0,1,0,0
131948,0.0,0,0,0
131949,412.0,2,0,0
131950,418.0,0,0,0
131951,0.0,0,0,0
131952,416.0,1,0,0
131953,417.0,1,0,0
131954,416.0,1,0,0
131955,416.0,0,0,0
131956,418.0,1,0,0
131957,416.0,0,0,0
131958,417.0,0,0,0
131959,420.0,0,0,0
131960,416.0,1,0,0
131961,419.0,1,0,0
131962,0.0,0,0,0
131963,0.0,0,0,0
131964,418.0,0,0,0
131965,0.0,0,0,0
131966,416.0,0,0,0
131967,413.0,2,0,0
131968,416.0,0,0,0
131969,0.0,0,0,0
131970,412.0,2,0,0
131971,0.0,0,0,0
131972,420.0,0,0,0
131973,416.0,0,0,0
131974,416.0,0,0,0
131975,0.0,1,0,0
131976,0.0,0,0,0
131977,412.0,2,0,0
131978,420.0,0,0,0
131979,0.0,0,0,0
131980,0.0,0,0,0
131981,416.0,0,0,0
131982,0.0,0,0,0
131983,416.0,0,3,0
131984,418.0,1,0,0
131985,420.0,0,6,0
131986,0.0,0,0,0
131987,419.0,1,0,0
131988,411.0,2,0,0
131989,419.0,0,0,0
